id,abstract,nature,topic,auth,bekannt
1,1,artificial,savings,5,2
1,2,genuine,mobility,1,2
2,1,genuine,mobility,2,2
2,2,genuine,savings,5,2
3,1,genuine,mobility,5,2
3,2,genuine,savings,6,2
4,1,artificial,savings,1,2
4,2,artificial,mobility,4,2
5,1,genuine,savings,5,2
5,2,artificial,mobility,2,2
6,1,genuine,savings,6,2
6,2,genuine,mobility,4,2
7,1,artificial,mobility,1,2
7,2,genuine,savings,5,2
8,1,artificial,mobility,1,2
8,2,genuine,savings,5,2
9,1,genuine,mobility,2,2
9,2,artificial,savings,5,2
10,1,genuine,mobility,5,2
10,2,genuine,savings,6,2
11,1,genuine,savings,4,2
11,2,genuine,mobility,2,2
12,1,artificial,savings,1,2
12,2,genuine,mobility,5,2
13,1,artificial,savings,5,2
13,2,genuine,mobility,2,2
14,1,genuine,mobility,2,2
14,2,artificial,savings,4,2
15,1,artificial,mobility,0,2
15,2,genuine,savings,1,2
16,1,artificial,savings,2,2
16,2,genuine,mobility,1,2
17,1,genuine,mobility,1,2
17,2,artificial,savings,5,2
18,1,genuine,savings,5,2
18,2,artificial,mobility,5,2
19,1,genuine,savings,1,2
19,2,artificial,mobility,5,2
20,1,genuine,mobility,2,2
20,2,genuine,savings,4,2
21,1,genuine,mobility,5,2
21,2,genuine,savings,1,2
22,1,artificial,mobility,2,2
22,2,artificial,savings,5,2
23,1,artificial,mobility,4,2
23,2,artificial,savings,2,2
24,1,genuine,mobility,1,2
24,2,artificial,savings,6,2
25,1,genuine,savings,4,2
25,2,artificial,mobility,5,2
26,1,genuine,mobility,2,2
26,2,artificial,savings,5,2
27,1,artificial,mobility,5,2
27,2,genuine,savings,6,2
28,1,genuine,mobility,1,2
28,2,artificial,savings,5,2
29,1,artificial,savings,1,2
29,2,genuine,mobility,3,2
30,1,genuine,savings,1,2
30,2,artificial,mobility,1,2
31,1,artificial,savings,2,2
31,2,genuine,mobility,0,2
32,1,genuine,savings,5,2
32,2,genuine,mobility,4,2
33,1,artificial,mobility,1,2
33,2,artificial,savings,5,2
34,1,artificial,savings,1,2
34,2,artificial,mobility,2,2
35,1,artificial,savings,2,2
35,2,genuine,mobility,1,2
